source_url,destination_url,reason
/destinations/spain/barcelona/barcelona-friends-3days,/destinations/spain/barcelona/barcelona-solo-3days,도어웨이 통합 (바르셀로나 4→1)
/destinations/spain/barcelona/barcelona-couple-3days,/destinations/spain/barcelona/barcelona-solo-3days,도어웨이 통합 (바르셀로나 4→1)
/destinations/spain/barcelona/barcelona-family-4days,/destinations/spain/barcelona/barcelona-solo-3days,도어웨이 통합 (바르셀로나 4→1)
/destinations/japan/kyoto/kyoto-family-4days,/destinations/japan/kyoto/kyoto-solo-3days,도어웨이 통합 (교토 4→1)
/destinations/japan/kyoto/kyoto-couple-3days,/destinations/japan/kyoto/kyoto-solo-3days,도어웨이 통합 (교토 4→1)
/destinations/japan/kyoto/kyoto-friends-3days,/destinations/japan/kyoto/kyoto-solo-3days,도어웨이 통합 (교토 4→1)
/destinations/vietnam/hanoi/hanoi-friends-3days,/destinations/vietnam/hanoi/hanoi-couple-3days,도어웨이 통합 (하노이 3→1)
/destinations/vietnam/hanoi/hanoi-solo-2days,/destinations/vietnam/hanoi/hanoi-couple-3days,도어웨이 통합 (하노이 3→1)
/destinations/singapore/singapore/singapore-couple-3days,/destinations/singapore/singapore/singapore-solo-3days,도어웨이 통합 (싱가포르 4→1)
/destinations/singapore/singapore/singapore-family-4days,/destinations/singapore/singapore/singapore-solo-3days,도어웨이 통합 (싱가포르 4→1)
/destinations/singapore/singapore/singapore-friends-3days,/destinations/singapore/singapore/singapore-solo-3days,도어웨이 통합 (싱가포르 4→1)
/destinations/indonesia/bali/bali-family-4days,/destinations/indonesia/bali/bali-solo-3days,도어웨이 통합 (발리 4→1)
/destinations/indonesia/bali/bali-friends-3days,/destinations/indonesia/bali/bali-solo-3days,도어웨이 통합 (발리 4→1)
/destinations/indonesia/bali/bali-couple-3days,/destinations/indonesia/bali/bali-solo-3days,도어웨이 통합 (발리 4→1)
