type,topic,variant,url,db_id,slug,language,published,char_count,views_count,created_at,updated_at
travel_plan,Singapore (Singapore),family-3d-en,/en/destinations/Singapore/Singapore/singapore-family-3days-en,073e8485-9785-4fb6-b7e6-3dc3b8ef1207,singapore-family-3days-en,en,true,6252,61,2026-05-22T03:17:35.515985+00:00,
travel_plan,사이판 (사이판),friends-3d-ko,/destinations/%EC%82%AC%EC%9D%B4%ED%8C%90/%EC%82%AC%EC%9D%B4%ED%8C%90/saipan-friends-3days,353074e0-20ff-4dc9-b456-559045e3e7fe,saipan-friends-3days,ko,true,993,49,2026-05-22T05:07:41.190782+00:00,
travel_plan,후쿠오카 (일본),couple-3d-ko,/destinations/%EC%9D%BC%EB%B3%B8/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4/fukuoka-couple-3days,6141d9a3-7d13-4df0-b5fe-1d6d6c0facd6,fukuoka-couple-3days,ko,true,1038,48,2026-05-22T04:49:21.454323+00:00,
travel_plan,마닐라 (필리핀),friends-3d-ko,/destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EB%A7%88%EB%8B%90%EB%9D%BC/manila-friends-3days,3de150ed-2cca-49b8-a029-14a96c263089,manila-friends-3days,ko,true,1424,54,2026-05-22T05:04:12.898081+00:00,
travel_plan,호치민 (베트남),couple-3d-ko,/destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%ED%98%B8%EC%B9%98%EB%AF%BC/ho-chi-minh-couple-3days,03a75626-9d6b-4438-b815-6f5bc19d7b1e,ho-chi-minh-couple-3days,ko,true,1198,50,2026-05-22T07:09:32.096237+00:00,
travel_plan,타이베이 (대만),solo-2d-ko,/destinations/%EB%8C%80%EB%A7%8C/%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4/taipei-solo-2days,bc636948-355b-4ae9-b14f-e24090550feb,taipei-solo-2days,ko,true,708,99,2026-05-22T05:38:15.054027+00:00,
travel_plan,후쿠오카 (일본),friends-3d-ko,/destinations/%EC%9D%BC%EB%B3%B8/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4/fukuoka-friends-3days,bf2a7125-673e-414a-9eb5-2a21e8946dd7,fukuoka-friends-3days,ko,true,956,59,2026-05-22T04:50:26.505885+00:00,
travel_plan,오사카 (일본),solo-3d-ko,/destinations/%EC%9D%BC%EB%B3%B8/%EC%98%A4%EC%82%AC%EC%B9%B4/osaka-solo-3days,501ac48f-34d8-4ab4-9c78-b32863159f24,osaka-solo-3days,ko,true,1520,59,2026-05-13T04:46:11.318915+00:00,
travel_plan,괌 (괌),solo-2d-ko,/destinations/%EA%B4%8C/%EA%B4%8C/guam-solo-2days,c588404d-5d2a-4907-bb49-ff5ee89498d3,guam-solo-2days,ko,true,664,39,2026-05-22T05:21:00.788875+00:00,
travel_plan,타이중 (대만),friends-3d-ko,/destinations/%EB%8C%80%EB%A7%8C/%ED%83%80%EC%9D%B4%EC%A4%91/taichung-friends-3days,e8b4e127-678e-45ae-adeb-111d14d7ba34,taichung-friends-3days,ko,true,1067,45,2026-05-22T05:39:30.24891+00:00,
travel_plan,치앙마이 (태국),friends-3d-ko,/destinations/%ED%83%9C%EA%B5%AD/%EC%B9%98%EC%95%99%EB%A7%88%EC%9D%B4/chiang-mai-friends-3days,5c3995b0-c165-48a1-8c62-90a1eb152a00,chiang-mai-friends-3days,ko,true,1327,68,2026-05-13T05:04:43.102277+00:00,
travel_plan,교토 (일본),solo-3d-ko,/destinations/%EC%9D%BC%EB%B3%B8/%EA%B5%90%ED%86%A0/kyoto-solo-3days,c45d2fc8-14ff-4a68-9bc3-0caa9afa1be7,kyoto-solo-3days,ko,true,1172,120,2026-05-13T04:50:19.497974+00:00,
travel_plan,런던 (영국),family-4d-ko,/destinations/%EC%98%81%EA%B5%AD/%EB%9F%B0%EB%8D%98/london-family-4days,a7685aca-4e06-4aad-959c-eb30fc1844f7,london-family-4days,ko,true,1414,56,2026-05-13T05:14:48.312772+00:00,
travel_plan,파리 (프랑스),friends-3d-ko,/destinations/%ED%94%84%EB%9E%91%EC%8A%A4/%ED%8C%8C%EB%A6%AC/paris-friends-3days,cc32dead-9ccb-46cc-be87-7ec8b49c4f2b,paris-friends-3days,ko,true,4935,210,2026-05-13T04:53:15.495706+00:00,
travel_plan,괌 (괌),couple-3d-ko,/destinations/%EA%B4%8C/%EA%B4%8C/guam-couple-3days,059e8c8f-9cd4-4151-ac4f-c182790bcd94,guam-couple-3days,ko,true,1250,52,2026-05-22T07:13:39.943621+00:00,
travel_plan,London (UK),couple-4d-en,/en/destinations/UK/London/london-couple-4days-en,b1151f6a-43e3-4c5e-80bf-f10888f4b8bc,london-couple-4days-en,en,true,10720,46,2026-05-22T03:19:26.469375+00:00,
travel_plan,교토 (일본),friends-3d-ko,/destinations/%EC%9D%BC%EB%B3%B8/%EA%B5%90%ED%86%A0/kyoto-friends-3days,b131d83f-3a05-4b1e-957c-f391e7815a28,kyoto-friends-3days,ko,true,1140,58,2026-05-13T04:49:24.572751+00:00,
travel_plan,교토 (일본),family-4d-ko,/destinations/%EC%9D%BC%EB%B3%B8/%EA%B5%90%ED%86%A0/kyoto-family-4days,2f0bece4-8209-433f-bd82-50401156b6ea,kyoto-family-4days,ko,true,1752,78,2026-05-13T04:48:25.686207+00:00,
travel_plan,나트랑 (베트남),friends-3d-ko,/destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%EB%82%98%ED%8A%B8%EB%9E%91/nha-trang-friends-3days,24975449-5683-4385-9764-f954c3965793,nha-trang-friends-3days,ko,true,1153,80,2026-05-22T04:54:42.336275+00:00,
travel_plan,오사카 (일본),family-4d-ko,/destinations/%EC%9D%BC%EB%B3%B8/%EC%98%A4%EC%82%AC%EC%B9%B4/osaka-family-4days,9d9228b5-0d13-4c9a-8298-8cc3160f767f,osaka-family-4days,ko,true,1557,115,2026-05-13T04:44:01.348398+00:00,
travel_plan,하노이 (베트남),couple-3d-ko,/destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%ED%95%98%EB%85%B8%EC%9D%B4/hanoi-couple-3days,d7daa23a-013b-464d-bfda-1af7e0400e92,hanoi-couple-3days,ko,true,1133,77,2026-05-22T04:56:01.612908+00:00,
travel_plan,파리 (프랑스),solo-3d-ko,/destinations/%ED%94%84%EB%9E%91%EC%8A%A4/%ED%8C%8C%EB%A6%AC/paris-solo-3days,5a88f5e5-083c-440b-8a94-32b83632b36d,paris-solo-3days,ko,true,4910,297,2026-05-13T04:53:59.895144+00:00,
travel_plan,시드니 (호주),friends-4d-ko,/destinations/%ED%98%B8%EC%A3%BC/%EC%8B%9C%EB%93%9C%EB%8B%88/sydney-friends-4days,035d7931-8910-46f5-bbb2-5d16d9de1232,sydney-friends-4days,ko,true,1528,83,2026-05-27T09:10:45.140215+00:00,
